IP:PORT, LOSS, DELAY
188.114.96.111:891,0.00%,243 ms
162.159.195.120:894,0.00%,243 ms
188.114.97.151:1843,0.00%,243 ms
188.114.96.117:891,0.00%,243 ms
188.114.97.45:1387,0.00%,243 ms
162.159.192.248:8854,0.00%,243 ms
188.114.96.20:3476,0.00%,243 ms
188.114.96.14:942,0.00%,243 ms
188.114.96.52:4177,0.00%,243 ms
162.159.195.103:894,0.00%,243 ms
162.159.192.132:1014,0.00%,243 ms
188.114.96.135:3581,0.00%,243 ms
188.114.98.129:894,0.00%,243 ms
188.114.98.189:1843,0.00%,243 ms
162.159.192.210:7156,0.00%,243 ms
188.114.97.27:1010,0.00%,243 ms
188.114.98.214:8886,0.00%,243 ms
188.114.96.68:1387,0.00%,243 ms
162.159.192.224:1010,0.00%,243 ms
188.114.99.78:500,0.00%,243 ms
188.114.98.96:1387,0.00%,243 ms
188.114.96.235:942,0.00%,243 ms
188.114.98.199:8886,0.00%,243 ms
188.114.98.61:987,0.00%,243 ms
188.114.99.77:500,0.00%,243 ms
188.114.96.131:4233,0.00%,243 ms
188.114.96.101:1387,0.00%,243 ms
188.114.97.36:1387,0.00%,243 ms
162.159.192.81:988,0.00%,243 ms
188.114.96.82:1387,0.00%,243 ms
188.114.96.121:943,0.00%,243 ms
188.114.96.196:3476,0.00%,243 ms
162.159.192.129:1014,0.00%,243 ms
188.114.97.63:988,0.00%,243 ms
188.114.99.53:894,0.00%,243 ms
162.159.195.39:943,0.00%,243 ms
188.114.99.26:4177,0.00%,243 ms
188.114.97.88:8854,0.00%,243 ms
188.114.97.117:968,0.00%,243 ms
188.114.97.117:890,0.00%,243 ms
188.114.96.118:891,0.00%,243 ms
188.114.97.13:1010,0.00%,243 ms
188.114.96.42:4233,0.00%,243 ms
188.114.96.62:1387,0.00%,243 ms
162.159.192.97:942,0.00%,243 ms
188.114.98.216:8886,0.00%,243 ms
188.114.99.11:854,0.00%,243 ms
162.159.192.89:988,0.00%,243 ms
162.159.192.66:942,0.00%,243 ms
188.114.96.10:942,0.00%,243 ms
188.114.97.55:987,0.00%,243 ms
162.159.192.248:894,0.00%,243 ms
188.114.97.20:1010,0.00%,243 ms
188.114.97.82:908,0.00%,243 ms
188.114.97.75:988,0.00%,243 ms
188.114.98.245:5279,0.00%,243 ms
188.114.96.85:968,0.00%,243 ms
188.114.96.233:943,0.00%,243 ms
188.114.99.81:1014,0.00%,243 ms
188.114.96.61:968,0.00%,243 ms
188.114.97.137:968,0.00%,243 ms
188.114.96.82:968,0.00%,243 ms
188.114.96.180:2408,0.00%,243 ms
188.114.96.175:2408,0.00%,243 ms
162.159.192.245:1074,0.00%,243 ms
188.114.97.70:987,0.00%,243 ms
188.114.96.250:942,0.00%,243 ms
188.114.96.122:943,0.00%,243 ms
188.114.96.93:968,0.00%,243 ms
188.114.97.59:987,0.00%,243 ms
188.114.96.221:943,0.00%,243 ms
188.114.96.161:3476,0.00%,243 ms
188.114.97.130:890,0.00%,243 ms
188.114.97.41:1010,0.00%,243 ms
188.114.99.72:894,0.00%,243 ms
188.114.99.18:854,0.00%,243 ms
188.114.99.18:4177,0.00%,243 ms
162.159.192.83:988,0.00%,243 ms
188.114.96.204:3476,0.00%,243 ms
162.159.192.229:7156,0.00%,243 ms
162.159.195.38:943,0.00%,243 ms
188.114.97.53:987,0.00%,243 ms
162.159.192.67:988,0.00%,243 ms
188.114.96.67:1387,0.00%,243 ms
188.114.99.49:500,0.00%,243 ms
188.114.97.66:988,0.00%,243 ms
188.114.98.210:8886,0.00%,243 ms
188.114.99.30:854,0.00%,243 ms
188.114.97.91:8854,0.00%,243 ms
188.114.96.234:8319,0.00%,243 ms
188.114.98.86:1387,0.00%,243 ms
188.114.97.79:987,0.00%,243 ms
188.114.96.228:988,0.00%,243 ms
188.114.96.194:3476,0.00%,243 ms
188.114.99.82:4233,0.00%,243 ms
188.114.96.133:3581,0.00%,243 ms
188.114.96.134:3581,0.00%,243 ms
188.114.98.198:8886,0.00%,243 ms
188.114.97.62:988,0.00%,243 ms
188.114.97.85:908,0.00%,243 ms
188.114.99.240:8886,0.00%,243 ms
188.114.98.95:1387,0.00%,243 ms
188.114.98.189:891,0.00%,243 ms
162.159.192.235:7156,0.00%,243 ms
188.114.97.131:968,0.00%,243 ms
188.114.99.204:7103,0.00%,243 ms
162.159.192.96:942,0.00%,243 ms
188.114.96.35:4233,0.00%,243 ms
162.159.192.236:7156,0.00%,243 ms
188.114.99.22:854,0.00%,243 ms
162.159.195.57:4177,0.00%,243 ms
162.159.192.66:988,0.00%,243 ms
188.114.98.94:1387,0.00%,243 ms
188.114.97.54:988,0.00%,243 ms
188.114.98.147:8319,0.00%,243 ms
188.114.98.94:939,0.00%,243 ms
162.159.192.133:891,0.00%,243 ms
188.114.98.244:5279,0.00%,243 ms
162.159.195.108:908,0.00%,243 ms
188.114.99.15:4177,0.00%,243 ms
188.114.99.86:1843,0.00%,243 ms
162.159.192.158:942,0.00%,243 ms
188.114.97.31:1387,0.00%,243 ms
188.114.96.227:943,0.00%,243 ms
188.114.97.35:1387,0.00%,243 ms
188.114.97.149:3138,0.00%,243 ms
188.114.98.219:8886,0.00%,243 ms
188.114.99.32:4177,0.00%,243 ms
188.114.96.238:8319,0.00%,243 ms
188.114.96.201:2408,0.00%,243 ms
188.114.98.137:894,0.00%,243 ms
188.114.98.242:5279,0.00%,243 ms
188.114.96.57:4233,0.00%,243 ms
188.114.98.194:8886,0.00%,243 ms
188.114.96.86:968,0.00%,243 ms
188.114.99.40:500,0.00%,243 ms
188.114.96.249:8319,0.00%,243 ms
188.114.96.145:4233,0.00%,243 ms
188.114.97.34:1387,0.00%,243 ms
188.114.98.217:8886,0.00%,243 ms
162.159.192.140:891,0.00%,243 ms
188.114.97.91:908,0.00%,243 ms
162.159.192.71:988,0.00%,243 ms
162.159.192.70:988,0.00%,243 ms
162.159.192.132:891,0.00%,243 ms
188.114.97.28:1387,0.00%,243 ms
188.114.98.99:939,0.00%,243 ms
188.114.97.113:890,0.00%,243 ms
188.114.96.89:968,0.00%,243 ms
188.114.96.156:2408,0.00%,243 ms
162.159.192.184:934,0.00%,243 ms
188.114.99.3:854,0.00%,243 ms
162.159.192.240:1701,0.00%,243 ms
162.159.192.183:942,0.00%,243 ms
188.114.98.106:939,0.00%,243 ms
188.114.98.59:987,0.00%,243 ms
188.114.98.114:987,0.00%,243 ms
188.114.96.100:968,0.00%,243 ms
188.114.97.148:1843,0.00%,243 ms
188.114.98.121:987,0.00%,243 ms
188.114.96.22:4177,0.00%,243 ms
162.159.192.230:1010,0.00%,243 ms
188.114.98.224:864,0.00%,243 ms
188.114.97.156:3138,0.00%,243 ms
162.159.192.164:942,0.00%,243 ms
188.114.98.15:4233,0.00%,243 ms
188.114.99.16:4177,0.00%,243 ms
162.159.192.238:1074,0.00%,243 ms
162.159.192.237:1074,0.00%,243 ms
188.114.99.254:1701,0.00%,243 ms
162.159.192.73:988,0.00%,243 ms
188.114.96.87:968,0.00%,243 ms
188.114.98.133:987,0.00%,243 ms
162.159.192.162:942,0.00%,243 ms
162.159.192.68:988,0.00%,243 ms
162.159.192.94:942,0.00%,243 ms
162.159.192.69:942,0.00%,243 ms
162.159.192.139:1014,0.00%,243 ms
188.114.99.72:500,0.00%,243 ms
188.114.99.139:4500,0.00%,243 ms
188.114.99.7:854,0.00%,243 ms
188.114.96.19:942,0.00%,243 ms
162.159.192.82:988,0.00%,243 ms
162.159.195.107:908,0.00%,243 ms
188.114.96.53:4233,0.00%,243 ms
188.114.98.93:939,0.00%,243 ms
188.114.96.146:3581,0.00%,243 ms
188.114.96.247:942,0.00%,243 ms
162.159.195.40:4177,0.00%,243 ms
162.159.192.152:934,0.00%,243 ms
188.114.96.219:988,0.00%,243 ms
162.159.192.186:934,0.00%,243 ms
162.159.192.181:934,0.00%,243 ms
188.114.96.158:2408,0.00%,243 ms
188.114.99.29:4177,0.00%,243 ms
188.114.99.34:854,0.00%,243 ms
188.114.97.51:987,0.00%,243 ms
188.114.97.75:987,0.00%,243 ms
188.114.96.127:943,0.00%,243 ms
188.114.99.221:2371,0.00%,243 ms
188.114.98.223:864,0.00%,243 ms
188.114.96.227:988,0.00%,243 ms
162.159.195.116:894,0.00%,243 ms
188.114.96.183:2408,0.00%,243 ms
188.114.99.66:500,0.00%,243 ms
162.159.192.72:942,0.00%,243 ms
188.114.97.140:968,0.00%,243 ms
188.114.98.199:864,0.00%,243 ms
188.114.97.101:988,0.00%,243 ms
188.114.96.245:8319,0.00%,243 ms
188.114.99.15:854,0.00%,243 ms
188.114.98.196:864,0.00%,243 ms
188.114.97.43:1387,0.00%,243 ms
188.114.96.109:943,0.00%,243 ms
188.114.96.220:988,0.00%,243 ms
162.159.192.186:942,0.00%,243 ms
188.114.98.88:1387,0.00%,243 ms
188.114.99.33:854,0.00%,243 ms
162.159.192.38:3138,0.00%,243 ms
188.114.98.108:939,0.00%,243 ms
188.114.96.148:3581,0.00%,243 ms
188.114.98.83:955,0.00%,243 ms
162.159.192.209:7156,0.00%,243 ms
162.159.192.179:942,0.00%,243 ms
188.114.96.92:968,0.00%,243 ms
